,Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match,PrgP,PrgC
1,Liverpool,18.973684210526315,6.2368421052631575,16.810526315789474,0.34210526315789475,0.18421052631578946,0.21052631578947367,2.473684210526316,0.6842105263157895,2.3368421052631576,0.8868421052631578,62.6578947368421,13.868421052631579,49.421052631578945,13.447368421052632,2.4210526315789473,0.0,221.55263157894737,36.23684210526316,32.86842105263158,2.9473684210526314,2021,92,2.4210526315789473,59.026315789473685,23.289473684210527
2,Chelsea,15.342105263157896,5.2631578947368425,17.660526315789475,0.6842105263157895,0.21052631578947367,0.23684210526315788,2.0,0.868421052631579,1.6631578947368422,0.8657894736842104,61.76315789473684,11.552631578947368,42.473684210526315,11.5,1.736842105263158,0.0,207.39473684210526,28.05263157894737,28.0,2.026315789473684,2021,74,1.9473684210526316,51.76315789473684,23.526315789473685
3,Tottenham Hotspur,12.789473684210526,4.868421052631579,16.807894736842105,0.42105263157894735,0.13157894736842105,0.13157894736842105,1.8157894736842106,1.0526315789473684,1.610526315789474,1.039473684210526,51.8421052631579,9.973684210526315,30.842105263157894,8.894736842105264,2.1315789473684212,0.0,148.07894736842104,22.736842105263158,23.210526315789473,2.3157894736842106,2021,71,1.868421052631579,38.39473684210526,20.81578947368421
4,Arsenal,15.289473684210526,4.894736842105263,17.902631578947364,0.5526315789473685,0.13157894736842105,0.21052631578947367,1.605263157894737,1.263157894736842,1.5894736842105261,1.2,52.76315789473684,11.5,35.63157894736842,8.657894736842104,1.9473684210526316,0.0,170.81578947368422,25.842105263157894,27.105263157894736,2.026315789473684,2021,69,1.8157894736842106,43.55263157894737,19.31578947368421
5,Manchester United,13.236842105263158,4.7105263157894735,17.69473684210526,0.5,0.07894736842105263,0.13157894736842105,1.5,1.5,1.4631578947368422,1.394736842105263,52.68421052631579,10.710526315789474,34.60526315789474,8.210526315789474,1.7105263157894737,0.0,166.60526315789474,23.236842105263158,24.13157894736842,2.1052631578947367,2021,58,1.5263157894736843,41.26315789473684,20.63157894736842
6,West Ham United,11.657894736842104,3.736842105263158,16.689473684210526,0.34210526315789475,0.10526315789473684,0.15789473684210525,1.5789473684210527,1.3421052631578947,1.3526315789473689,1.407894736842105,47.921052631578945,8.421052631578947,29.105263157894736,7.131578947368421,2.289473684210526,0.0,145.8684210526316,21.31578947368421,20.263157894736842,0.7631578947368421,2021,56,1.4736842105263157,38.13157894736842,17.0
7,Leicester City,11.394736842105264,4.315789473684211,18.021052631578943,0.3684210526315789,0.05263157894736842,0.05263157894736842,1.631578947368421,1.5526315789473684,1.2684210526315791,1.5605263157894738,52.0,8.210526315789474,26.973684210526315,6.684210526315789,1.5,0.0,130.57894736842104,19.63157894736842,19.605263157894736,1.7105263157894737,2021,52,1.368421052631579,35.68421052631579,16.36842105263158
8,Brighton and Hove Albion,12.68421052631579,3.710526315789474,17.67631578947368,0.39473684210526316,0.10526315789473684,0.18421052631578946,1.105263157894737,1.1578947368421053,1.2157894736842108,1.1289473684210527,54.39473684210526,9.368421052631579,31.236842105263158,9.0,1.894736842105263,0.0,171.18421052631578,23.05263157894737,22.894736842105264,1.5263157894736843,2021,51,1.3421052631578947,40.71052631578947,17.789473684210527
9,Wolverhampton Wanderers,10.552631578947368,3.5,18.297368421052635,0.34210526315789475,0.02631578947368421,0.02631578947368421,1.0,1.131578947368421,0.9868421052631579,1.492105263157895,49.526315789473685,7.7368421052631575,28.842105263157894,5.578947368421052,1.5,0.0,128.60526315789474,18.5,18.210526315789473,1.5263157894736843,2021,51,1.3421052631578947,33.76315789473684,19.026315789473685
10,Newcastle United,11.736842105263158,3.736842105263158,18.689473684210526,0.39473684210526316,0.07894736842105263,0.07894736842105263,1.1578947368421053,1.631578947368421,1.0052631578947366,1.5078947368421052,40.421052631578945,8.105263157894736,20.81578947368421,5.078947368421052,1.4473684210526316,0.0,113.52631578947368,19.13157894736842,19.94736842105263,0.8157894736842105,2021,49,1.2894736842105263,24.289473684210527,14.31578947368421
